"n","p1","maxc","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
500,0.5,0.5,0.5,"Direct",0.25,0.161163,0.161308,0.000145,6.9e-05,7e-05
500,0.5,0.5,0.5,"Direct",0.5,0.26445,0.26509,0.00064,9e-05,9e-05
500,0.5,0.5,0.5,"Direct",0.75,0.389479,0.389556,7.7e-05,0.000155,0.000155
500,0.5,0.5,0.5,"IST",0.25,0.161163,0.070554,-0.090609,0.008574,0.000365
500,0.5,0.5,0.5,"IST",0.5,0.26445,0.276618,0.012168,0.000534,0.000387
500,0.5,0.5,0.5,"IST",0.75,0.389479,0.4957,0.106221,0.01173,0.000448
500,0.75,0.1,-0.5,"Direct",0.25,0.161163,0.16135,0.000187,6.2e-05,6.2e-05
500,0.75,0.1,-0.5,"Direct",0.5,0.26445,0.264352,-9.8e-05,9.1e-05,9.1e-05
500,0.75,0.1,-0.5,"Direct",0.75,0.389479,0.38921,-0.000269,0.000144,0.000144
500,0.75,0.1,-0.5,"IST",0.25,0.161163,0.172264,0.011101,0.000195,7.2e-05
500,0.75,0.1,-0.5,"IST",0.5,0.26445,0.268048,0.003598,0.000117,0.000104
500,0.75,0.1,-0.5,"IST",0.75,0.389479,0.385724,-0.003755,0.000175,0.000162
500,0.75,0.1,0,"Direct",0.25,0.161163,0.161332,0.000169,7.2e-05,7.2e-05
500,0.75,0.1,0,"Direct",0.5,0.26445,0.264662,0.000212,0.000104,0.000104
500,0.75,0.1,0,"Direct",0.75,0.389479,0.390182,0.000703,0.000143,0.000143
500,0.75,0.1,0,"IST",0.25,0.161163,0.162556,0.001393,9.1e-05,8.9e-05
